,follows,userids
0,804530658307502080,951522626
1,804529834202263552,951522626
2,1039015285,951522626
3,804514332977590272,951522626
4,804167749031362560,951522626
5,130350952,951522626
6,804511514434605057,951522626
7,804508302952366080,951522626
8,804505116258672640,951522626
9,804502081705050112,951522626
10,804498865802084352,951522626
11,804444566485168128,951522626
12,804442089115111424,951522626
13,804430288625377280,951522626
14,804427561723838466,951522626
15,803870828613996544,951522626
16,3061847545,951522626
17,85787217,951522626
18,2697570387,951522626
19,804402349179543553,951522626
20,804401553121558528,951522626
21,804402041841823744,951522626
22,4823634341,951522626
23,804400135379845120,951522626
24,804400063640276992,951522626
25,804385062980567040,951522626
26,804384548477771776,951522626
27,804377299189526528,951522626
28,804377712529809408,951522626
29,804367007709659136,951522626
30,804365520585621504,951522626
31,804365361944461312,951522626
32,804361404572581889,951522626
33,804359749525377024,951522626
34,804358118067015681,951522626
35,804358197297303552,951522626
36,804347398847762432,951522626
37,804353862740148228,951522626
38,791183544085131265,951522626
39,135898388,951522626
40,804351074618458112,951522626
41,804346421575041025,951522626
42,92203582,951522626
43,804343294998220804,951522626
44,804340109067898880,951522626
45,804339702505422848,951522626
46,804338540746276864,951522626
47,804332085704060928,951522626
48,3193566694,951522626
49,101777654,951522626
50,804327911696302080,951522626
51,804326622073524226,951522626
52,802561472538742785,951522626
53,2959450003,951522626
54,804321808543412224,951522626
55,3040004574,951522626
56,804320027155566592,951522626
57,804318583333519360,951522626
58,804318835889336320,951522626
59,804314812754890752,951522626
60,804312765309521920,951522626
61,804307634216124418,951522626
62,2608004735,951522626
63,804307769629110272,951522626
64,804305518269345798,951522626
65,804299041903296512,951522626
66,804298363558428673,951522626
67,804292646667689984,951522626
68,796391855999033351,951522626
69,2795164640,951522626
70,804285790155112449,951522626
71,4644564450,951522626
72,804237154549452800,951522626
73,804276792643219456,951522626
74,804276340862177280,951522626
75,733546336281198592,951522626
76,785071473572483072,951522626
77,804272722884919296,951522626
78,804271541751926784,951522626
79,804270857174429696,951522626
80,804269949329887232,951522626
81,804269478565396480,951522626
82,804267352393129984,951522626
83,476796250,951522626
84,804260295292100608,951522626
85,804259477528649728,951522626
86,804258407767109632,951522626
87,1495814581,951522626
88,797744454010621953,951522626
89,1891965925,951522626
90,784205855357014016,951522626
91,804251743689158656,951522626
92,804252144232599552,951522626
93,804247726460379136,951522626
94,804246981644169216,951522626
95,804246321385369600,951522626
96,804245535519625216,951522626
97,804236815553204224,951522626
98,2233430321,951522626
99,1629348871,951522626
100,1364838475,951522626
101,804240450303336448,951522626
102,804240377490395136,951522626
103,804238624426496000,951522626
104,804236034607198208,951522626
105,738593925196185601,951522626
106,804231312852647940,951522626
107,476617183,951522626
108,804231202022588416,951522626
109,802452636767174656,951522626
110,804230141442400256,951522626
111,804229830937964544,951522626
112,804229995623313408,951522626
113,804228654230278144,951522626
114,804224043364687872,951522626
115,804218459655643136,951522626
116,804217869823340544,951522626
117,804209256949903360,951522626
118,2893281763,951522626
119,804207397887676416,951522626
120,804205416913768448,951522626
121,804205809039273984,951522626
122,804201655830884352,951522626
123,804196317475966976,951522626
124,221628469,951522626
125,804196596766359552,951522626
126,802039865835683840,951522626
127,804190505034772480,951522626
128,804189584200495104,951522626
129,278078267,951522626
130,804187003763900416,951522626
131,804186793927012352,951522626
132,804184120259674112,951522626
133,804183902642286592,951522626
134,2285498366,951522626
135,804176924427702273,951522626
136,804176073386668032,951522626
137,1175940560,951522626
138,717355251553013760,951522626
139,804127653158600708,951522626
140,804155945219567616,951522626
141,2179259640,951522626
142,804151464503480320,951522626
143,2917296689,951522626
144,2281982156,951522626
145,804096611789905920,951522626
146,804071175395545089,951522626
147,240611560,951522626
148,804061473223819264,951522626
149,804051607218491397,951522626
150,376750567,951522626
151,804046498442772481,951522626
152,804046661882236928,951522626
153,804046317836177408,951522626
154,2719684032,951522626
155,804032596564791297,951522626
156,804030617377767426,951522626
157,804026036274872320,951522626
158,804024390203490304,951522626
159,804019112682934272,951522626
160,804019510822875136,951522626
161,804009969532157952,951522626
